state,district,year,quarter,registered_users
Chhattisgarh,korba,2021,3,279897
Chhattisgarh,rajnandgaon,2021,3,232140
Chhattisgarh,baloda bazar,2021,3,205941
Chhattisgarh,surguja,2021,3,171276
Chhattisgarh,mahasamund,2021,3,161893
Chhattisgarh,raipur,2021,4,979741
Chhattisgarh,durg,2021,4,604621
Chhattisgarh,bilaspur,2021,4,506449
Chhattisgarh,raigarh,2021,4,378507
Chhattisgarh,janjgir champa,2021,4,368980
Chhattisgarh,korba,2021,4,299191
Chhattisgarh,rajnandgaon,2021,4,248230
Chhattisgarh,baloda bazar,2021,4,220188
Chhattisgarh,surguja,2021,4,183559
Chhattisgarh,mahasamund,2021,4,173519
Chhattisgarh,raipur,2022,1,1038105
Chhattisgarh,durg,2022,1,639688
Chhattisgarh,bilaspur,2022,1,537617
Chhattisgarh,raigarh,2022,1,403164
Chhattisgarh,janjgir champa,2022,1,392285
Chhattisgarh,korba,2022,1,317604
Chhattisgarh,rajnandgaon,2022,1,264326
Chhattisgarh,baloda bazar,2022,1,234464
Chhattisgarh,surguja,2022,1,195440
Chhattisgarh,mahasamund,2022,1,185227
Chhattisgarh,raipur,2022,2,1093318
Chhattisgarh,durg,2022,2,672947
Chhattisgarh,bilaspur,2022,2,566475
Chhattisgarh,raigarh,2022,2,425526
Chhattisgarh,janjgir champa,2022,2,414133
Chhattisgarh,korba,2022,2,334672
Chhattisgarh,rajnandgaon,2022,2,278724
Chhattisgarh,baloda bazar,2022,2,247634
Chhattisgarh,surguja,2022,2,206354
Chhattisgarh,mahasamund,2022,2,195406
Chhattisgarh,raipur,2022,3,1150501
Chhattisgarh,durg,2022,3,707241
Chhattisgarh,bilaspur,2022,3,596003
Chhattisgarh,raigarh,2022,3,448366
Chhattisgarh,janjgir champa,2022,3,436349
Chhattisgarh,korba,2022,3,352198
Chhattisgarh,rajnandgaon,2022,3,292804
Chhattisgarh,baloda bazar,2022,3,260632
Chhattisgarh,surguja,2022,3,217313
Chhattisgarh,mahasamund,2022,3,205270
Chhattisgarh,raipur,2022,4,1205632
Chhattisgarh,durg,2022,4,740173
Chhattisgarh,bilaspur,2022,4,622644
Chhattisgarh,raigarh,2022,4,468010
Chhattisgarh,janjgir champa,2022,4,455430
Chhattisgarh,korba,2022,4,368179
Chhattisgarh,rajnandgaon,2022,4,304353
Chhattisgarh,baloda bazar,2022,4,271259
Chhattisgarh,surguja,2022,4,226706
Chhattisgarh,mahasamund,2022,4,213189
Chhattisgarh,raipur,2023,1,1260366
Chhattisgarh,durg,2023,1,773280
Chhattisgarh,bilaspur,2023,1,651084
Chhattisgarh,raigarh,2023,1,489890
Chhattisgarh,janjgir champa,2023,1,476533
Chhattisgarh,korba,2023,1,384883
Chhattisgarh,rajnandgaon,2023,1,317976
Chhattisgarh,baloda bazar,2023,1,283757
Chhattisgarh,surguja,2023,1,237340
Chhattisgarh,mahasamund,2023,1,222989
Chhattisgarh,raipur,2023,2,1308762
Chhattisgarh,durg,2023,2,803101
Chhattisgarh,bilaspur,2023,2,677776
Chhattisgarh,raigarh,2023,2,511511
Chhattisgarh,janjgir champa,2023,2,497925
Chhattisgarh,korba,2023,2,401398
Chhattisgarh,rajnandgaon,2023,2,332345
Chhattisgarh,baloda bazar,2023,2,296661
Chhattisgarh,surguja,2023,2,248004
Chhattisgarh,mahasamund,2023,2,233538
Chhattisgarh,raipur,2023,3,1360842
Chhattisgarh,durg,2023,3,834591
Chhattisgarh,bilaspur,2023,3,705698
Chhattisgarh,raigarh,2023,3,532938
Chhattisgarh,janjgir champa,2023,3,518847
Chhattisgarh,korba,2023,3,418027
Chhattisgarh,rajnandgaon,2023,3,346368
Chhattisgarh,baloda bazar,2023,3,309128
Chhattisgarh,surguja,2023,3,258533
Chhattisgarh,mahasamund,2023,3,243585
Chhattisgarh,raipur,2023,4,1407537
Chhattisgarh,durg,2023,4,863802
Chhattisgarh,bilaspur,2023,4,729941
Chhattisgarh,raigarh,2023,4,552165
Chhattisgarh,janjgir champa,2023,4,537936
Chhattisgarh,korba,2023,4,432504
Chhattisgarh,rajnandgaon,2023,4,359246
Chhattisgarh,baloda bazar,2023,4,320644
Chhattisgarh,surguja,2023,4,267755
Chhattisgarh,mahasamund,2023,4,252583
Chhattisgarh,raipur,2024,1,1462871
Chhattisgarh,durg,2024,1,897874
Chhattisgarh,bilaspur,2024,1,759420
Chhattisgarh,raigarh,2024,1,575592
Chhattisgarh,janjgir champa,2024,1,560679
Chhattisgarh,korba,2024,1,450305
Chhattisgarh,rajnandgaon,2024,1,374946
Chhattisgarh,baloda bazar,2024,1,334412
Chhattisgarh,surguja,2024,1,278856
Chhattisgarh,mahasamund,2024,1,263607
Chhattisgarh,raipur,2024,2,1516797
Chhattisgarh,durg,2024,2,931630
Chhattisgarh,bilaspur,2024,2,787231
Chhattisgarh,raigarh,2024,2,597318
Chhattisgarh,janjgir champa,2024,2,582057
Chhattisgarh,korba,2024,2,466567
Chhattisgarh,rajnandgaon,2024,2,388822
Chhattisgarh,baloda bazar,2024,2,347102
Chhattisgarh,surguja,2024,2,289012
Chhattisgarh,mahasamund,2024,2,273488
Chhattisgarh,raipur,2024,3,1718625
Chhattisgarh,durg,2024,3,957786
Chhattisgarh,bilaspur,2024,3,874721
Chhattisgarh,raigarh,2024,3,562728
Chhattisgarh,korba,2024,3,540888
Chhattisgarh,janjgir champa,2024,3,382345
Chhattisgarh,surguja,2024,3,373283
Chhattisgarh,mahasamund,2024,3,348919
Chhattisgarh,balodabazar bhatapara,2024,3,347207
Chhattisgarh,rajnandgaon,2024,3,335631
Chhattisgarh,raipur,2024,4,1773369
Chhattisgarh,durg,2024,4,988679
Chhattisgarh,bilaspur,2024,4,904881
Chhattisgarh,raigarh,2024,4,581651
Chhattisgarh,korba,2024,4,559174
Chhattisgarh,janjgir champa,2024,4,394509
Chhattisgarh,surguja,2024,4,386630
Chhattisgarh,mahasamund,2024,4,361759
Chhattisgarh,balodabazar bhatapara,2024,4,361495
Chhattisgarh,rajnandgaon,2024,4,344534
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2018,1,32028
Dadra & Nagar Haveli & Daman & Diu,daman,2018,1,18677
Dadra & Nagar Haveli & Daman & Diu,diu,2018,1,2553
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2018,2,43085
Dadra & Nagar Haveli & Daman & Diu,daman,2018,2,25144
Dadra & Nagar Haveli & Daman & Diu,diu,2018,2,3229
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2018,3,55626
Dadra & Nagar Haveli & Daman & Diu,daman,2018,3,32651
Dadra & Nagar Haveli & Daman & Diu,diu,2018,3,3830
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2018,4,69833
Dadra & Nagar Haveli & Daman & Diu,daman,2018,4,42069
Dadra & Nagar Haveli & Daman & Diu,diu,2018,4,4609
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2019,1,83987
Dadra & Nagar Haveli & Daman & Diu,daman,2019,1,51093
Dadra & Nagar Haveli & Daman & Diu,diu,2019,1,5452
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2019,2,94382
Dadra & Nagar Haveli & Daman & Diu,daman,2019,2,58005
Dadra & Nagar Haveli & Daman & Diu,diu,2019,2,6193
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2019,3,105329
Dadra & Nagar Haveli & Daman & Diu,daman,2019,3,64854
Dadra & Nagar Haveli & Daman & Diu,diu,2019,3,6746
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2019,4,117805
Dadra & Nagar Haveli & Daman & Diu,daman,2019,4,72470
Dadra & Nagar Haveli & Daman & Diu,diu,2019,4,7323
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2020,1,130255
Dadra & Nagar Haveli & Daman & Diu,daman,2020,1,80329
Dadra & Nagar Haveli & Daman & Diu,diu,2020,1,7912
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2020,2,146003
Dadra & Nagar Haveli & Daman & Diu,daman,2020,2,90016
Dadra & Nagar Haveli & Daman & Diu,diu,2020,2,8795
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2020,3,160183
Dadra & Nagar Haveli & Daman & Diu,daman,2020,3,98108
Dadra & Nagar Haveli & Daman & Diu,diu,2020,3,9655
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2020,4,177432
Dadra & Nagar Haveli & Daman & Diu,daman,2020,4,108511
Dadra & Nagar Haveli & Daman & Diu,diu,2020,4,10550
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2021,1,192262
Dadra & Nagar Haveli & Daman & Diu,daman,2021,1,117728
Dadra & Nagar Haveli & Daman & Diu,diu,2021,1,11406
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2021,2,206516
Dadra & Nagar Haveli & Daman & Diu,daman,2021,2,126258
Dadra & Nagar Haveli & Daman & Diu,diu,2021,2,12220
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2021,3,222731
Dadra & Nagar Haveli & Daman & Diu,daman,2021,3,135976
Dadra & Nagar Haveli & Daman & Diu,diu,2021,3,13167
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2021,4,239110
Dadra & Nagar Haveli & Daman & Diu,daman,2021,4,145806
Dadra & Nagar Haveli & Daman & Diu,diu,2021,4,14047
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2022,1,254577
Dadra & Nagar Haveli & Daman & Diu,daman,2022,1,155029
Dadra & Nagar Haveli & Daman & Diu,diu,2022,1,14964
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2022,2,269344
Dadra & Nagar Haveli & Daman & Diu,daman,2022,2,163861
Dadra & Nagar Haveli & Daman & Diu,diu,2022,2,15811
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2022,3,284923
Dadra & Nagar Haveli & Daman & Diu,daman,2022,3,173219
Dadra & Nagar Haveli & Daman & Diu,diu,2022,3,16665
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2022,4,300217
Dadra & Nagar Haveli & Daman & Diu,daman,2022,4,182481
Dadra & Nagar Haveli & Daman & Diu,diu,2022,4,17427
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2023,1,314951
Dadra & Nagar Haveli & Daman & Diu,daman,2023,1,191432
Dadra & Nagar Haveli & Daman & Diu,diu,2023,1,18234
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2023,2,328125
Dadra & Nagar Haveli & Daman & Diu,daman,2023,2,199267
Dadra & Nagar Haveli & Daman & Diu,diu,2023,2,18972
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2023,3,341846
Dadra & Nagar Haveli & Daman & Diu,daman,2023,3,207437
Dadra & Nagar Haveli & Daman & Diu,diu,2023,3,19752
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2023,4,354944
Dadra & Nagar Haveli & Daman & Diu,daman,2023,4,215319
Dadra & Nagar Haveli & Daman & Diu,diu,2023,4,20497
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2024,1,370071
Dadra & Nagar Haveli & Daman & Diu,daman,2024,1,224463
Dadra & Nagar Haveli & Daman & Diu,diu,2024,1,21329
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2024,2,385068
Dadra & Nagar Haveli & Daman & Diu,daman,2024,2,233446
Dadra & Nagar Haveli & Daman & Diu,diu,2024,2,22210
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2024,3,381007
Dadra & Nagar Haveli & Daman & Diu,daman,2024,3,225491
Dadra & Nagar Haveli & Daman & Diu,diu,2024,3,21317
Dadra & Nagar Haveli & Daman & Diu,dadra and nagar haveli,2024,4,390650
Dadra & Nagar Haveli & Daman & Diu,daman,2024,4,231834
Dadra & Nagar Haveli & Daman & Diu,diu,2024,4,22066
Delhi,west,2018,1,308558
Delhi,south east delhi,2018,1,251213
Delhi,north west,2018,1,223679
Delhi,new delhi,2018,1,212008
Delhi,central delhi,2018,1,202723
Delhi,south west,2018,1,179197
Delhi,north,2018,1,173622
Delhi,east,2018,1,169295
Delhi,south,2018,1,156706
Delhi,shahdara,2018,1,114549
Delhi,west,2018,2,406877
Delhi,south east delhi,2018,2,333350
Delhi,north west,2018,2,294038
Delhi,new delhi,2018,2,282319
Delhi,central delhi,2018,2,267154
Delhi,south west,2018,2,236789
Delhi,north,2018,2,227958
Delhi,east,2018,2,221449
Delhi,south,2018,2,206935
Delhi,shahdara,2018,2,152113
Delhi,west,2018,3,515854
Delhi,south east delhi,2018,3,423177
Delhi,north west,2018,3,376806
Delhi,new delhi,2018,3,363140
Delhi,central delhi,2018,3,340549
Delhi,south west,2018,3,297663
Delhi,north,2018,3,290251
Delhi,east,2018,3,280847
Delhi,south,2018,3,264628
Delhi,shahdara,2018,3,192430
Delhi,west,2018,4,686653
Delhi,south east delhi,2018,4,564640
Delhi,north west,2018,4,496928
Delhi,new delhi,2018,4,470991
Delhi,central delhi,2018,4,446787
Delhi,south west,2018,4,393208
Delhi,north,2018,4,379177
Delhi,east,2018,4,373139
Delhi,south,2018,4,344311
Delhi,shahdara,2018,4,257785
Delhi,west,2019,1,820526
Delhi,south east delhi,2019,1,671667
Delhi,north west,2019,1,583438
Delhi,new delhi,2019,1,558516
Delhi,central delhi,2019,1,529918
Delhi,south west,2019,1,467571
Delhi,north,2019,1,447987
Delhi,east,2019,1,439639
Delhi,south,2019,1,407519
Delhi,shahdara,2019,1,310351
Delhi,west,2019,2,919096
Delhi,south east delhi,2019,2,749218
Delhi,north west,2019,2,649377
Delhi,new delhi,2019,2,637526
Delhi,central delhi,2019,2,596940
Delhi,south west,2019,2,519422
Delhi,north,2019,2,502570
Delhi,east,2019,2,487121
Delhi,south,2019,2,453829
Delhi,shahdara,2019,2,352312
Delhi,west,2019,3,1008836
Delhi,south east delhi,2019,3,821304
Delhi,north west,2019,3,709448
Delhi,new delhi,2019,3,705546
Delhi,central delhi,2019,3,658985
Delhi,south west,2019,3,567496
Delhi,north,2019,3,554029
Delhi,east,2019,3,532254
Delhi,south,2019,3,498200
Delhi,shahdara,2019,3,391827
Delhi,west,2019,4,1081496
Delhi,south east delhi,2019,4,883080
Delhi,north west,2019,4,758620
Delhi,new delhi,2019,4,757888
Delhi,central delhi,2019,4,711015
Delhi,south west,2019,4,605482
Delhi,north,2019,4,598910
Delhi,east,2019,4,568283
Delhi,south,2019,4,533716
Delhi,shahdara,2019,4,425305
Delhi,west,2020,1,1160353
Delhi,south east delhi,2020,1,947535
Delhi,north west,2020,1,814249
Delhi,new delhi,2020,1,810489
Delhi,central delhi,2020,1,765149
Delhi,north,2020,1,648654
Delhi,south west,2020,1,644981
Delhi,east,2020,1,604768
Delhi,south,2020,1,570329
Delhi,shahdara,2020,1,460186
Delhi,west,2020,2,1243875
Delhi,south east delhi,2020,2,1011931
Delhi,north west,2020,2,877218
Delhi,new delhi,2020,2,858515
Delhi,central delhi,2020,2,821609
Delhi,north,2020,2,704186
Delhi,south west,2020,2,688199
Delhi,east,2020,2,641233
Delhi,south,2020,2,608062
Delhi,shahdara,2020,2,498710
Delhi,west,2020,3,1343895
Delhi,south east delhi,2020,3,1088989
Delhi,north west,2020,3,946954
Delhi,new delhi,2020,3,912051
Delhi,central delhi,2020,3,888536
Delhi,north,2020,3,763389
Delhi,south west,2020,3,739034
Delhi,east,2020,3,685955
Delhi,south,2020,3,651616
Delhi,shahdara,2020,3,543831
Delhi,west,2020,4,1451042
Delhi,south east delhi,2020,4,1174221
Delhi,north west,2020,4,1019187
Delhi,new delhi,2020,4,971715
Delhi,central delhi,2020,4,962750
Delhi,north,2020,4,827019
Delhi,south west,2020,4,792331
Delhi,east,2020,4,734091
Delhi,south,2020,4,699303
Delhi,shahdara,2020,4,591192
Delhi,west,2021,1,1559112
Delhi,south east delhi,2021,1,1260645
Delhi,north west,2021,1,1094464
Delhi,new delhi,2021,1,1039016
Delhi,central delhi,2021,1,1035060
Delhi,north,2021,1,890194
Delhi,south west,2021,1,849223
Delhi,east,2021,1,786308
Delhi,south,2021,1,749173
Delhi,shahdara,2021,1,636908
Delhi,west,2021,2,1666267
Delhi,south east delhi,2021,2,1346063
Delhi,north west,2021,2,1170137
Delhi,new delhi,2021,2,1108471
Delhi,central delhi,2021,2,1105640
Delhi,north,2021,2,952374
Delhi,south west,2021,2,906878
Delhi,east,2021,2,839185
Delhi,south,2021,2,799590
Delhi,shahdara,2021,2,681073
Delhi,west,2021,3,1785309
Delhi,south east delhi,2021,3,1441462
Delhi,north west,2021,3,1254464
Delhi,new delhi,2021,3,1185588
Delhi,central delhi,2021,3,1184217
Delhi,north,2021,3,1022251
Delhi,south west,2021,3,971552
Delhi,east,2021,3,898137
Delhi,south,2021,3,855177
Delhi,shahdara,2021,3,730209
Delhi,west,2021,4,1905278
Delhi,south east delhi,2021,4,1537814
Delhi,north west,2021,4,1339480
Delhi,central delhi,2021,4,1263911
Delhi,new delhi,2021,4,1263818
Delhi,north,2021,4,1093028
Delhi,south west,2021,4,1036466
Delhi,east,2021,4,957392
Delhi,south,2021,4,911399
Delhi,shahdara,2021,4,779798
Delhi,west,2022,1,2017435
Delhi,south east delhi,2022,1,1628157
Delhi,north west,2022,1,1419688
Delhi,central delhi,2022,1,1338465
Delhi,new delhi,2022,1,1336911
Delhi,north,2022,1,1159277
Delhi,south west,2022,1,1097016
Delhi,east,2022,1,1013024
Delhi,south,2022,1,963775
Delhi,shahdara,2022,1,826148
Delhi,west,2022,2,2124626
Delhi,south east delhi,2022,2,1714507
Delhi,north west,2022,2,1496002
Delhi,central delhi,2022,2,1409776
Delhi,new delhi,2022,2,1406687
Delhi,north,2022,2,1222605
Delhi,south west,2022,2,1155288
Delhi,east,2022,2,1066632
Delhi,south,2022,2,1013938
Delhi,shahdara,2022,2,870461
Delhi,west,2022,3,2235907
Delhi,south east delhi,2022,3,1804123
Delhi,north west,2022,3,1575473
Delhi,central delhi,2022,3,1483786
Delhi,new delhi,2022,3,1479669
Delhi,north,2022,3,1288507
Delhi,south west,2022,3,1215697
Delhi,east,2022,3,1121596
Delhi,south,2022,3,1065631
Delhi,shahdara,2022,3,917096
Delhi,west,2022,4,2348063
Delhi,south east delhi,2022,4,1894776
Delhi,north west,2022,4,1655730
Delhi,central delhi,2022,4,1558400
Delhi,new delhi,2022,4,1552874
Delhi,north,2022,4,1354521
Delhi,south west,2022,4,1275864
Delhi,east,2022,4,1177294
Delhi,south,2022,4,1117981
Delhi,shahdara,2022,4,963656
Delhi,west,2023,1,2453869
Delhi,south east delhi,2023,1,1980915
Delhi,north west,2023,1,1731494
Delhi,central delhi,2023,1,1629248
Delhi,new delhi,2023,1,1622600
Delhi,north,2023,1,1416994
Delhi,south west,2023,1,1333347
Delhi,east,2023,1,1230290
Delhi,south,2023,1,1167338
Delhi,shahdara,2023,1,1007880
Delhi,west,2023,2,2546575
Delhi,south east delhi,2023,2,2055408
Delhi,north west,2023,2,1798636
Delhi,central delhi,2023,2,1690547
Delhi,new delhi,2023,2,1682305
Delhi,north,2023,2,1471979
Delhi,south west,2023,2,1383364
Delhi,east,2023,2,1275831
Delhi,south,2023,2,1209741
Delhi,shahdara,2023,2,1046614
Delhi,west,2023,3,2641529
Delhi,south east delhi,2023,3,2133173
Delhi,north west,2023,3,1866671
Delhi,central delhi,2023,3,1754227
Delhi,new delhi,2023,3,1744588
Delhi,north,2023,3,1528582
Delhi,south west,2023,3,1435544
Delhi,east,2023,3,1322844
Delhi,south,2023,3,1254751
Delhi,shahdara,2023,3,1086372
Delhi,west,2023,4,2732926
Delhi,south east delhi,2023,4,2207076
Delhi,north west,2023,4,1933267
Delhi,central delhi,2023,4,1815323
Delhi,new delhi,2023,4,1803952
Delhi,north,2023,4,1583005
Delhi,south west,2023,4,1484762
Delhi,east,2023,4,1367614
Delhi,south,2023,4,1296849
Delhi,shahdara,2023,4,1124343
Delhi,west,2024,1,2837958
Delhi,south east delhi,2024,1,2291746
Delhi,north west,2024,1,2008098
Delhi,central delhi,2024,1,1884700
Delhi,new delhi,2024,1,1871468
Delhi,north,2024,1,1644670
Delhi,south west,2024,1,1541622
Delhi,east,2024,1,1418866
Delhi,south,2024,1,1345231
Delhi,shahdara,2024,1,1167913
Delhi,west,2024,2,2945032
Delhi,south east delhi,2024,2,2378417
Delhi,north west,2024,2,2085373
Delhi,central delhi,2024,2,1956609
Delhi,new delhi,2024,2,1940666
Delhi,north,2024,2,1707431
Delhi,south west,2024,2,1599704
Delhi,east,2024,2,1471663
Delhi,south,2024,2,1395197
Delhi,shahdara,2024,2,1212695
Delhi,west,2024,3,2715492
Delhi,south east,2024,3,2262427
Delhi,central delhi,2024,3,1990109
Delhi,north west,2024,3,1907401
Delhi,north,2024,3,1686282
Delhi,new delhi,2024,3,1633520
Delhi,south west,2024,3,1419174
Delhi,south,2024,3,1307337
Delhi,east,2024,3,1256144
Delhi,shahdara,2024,3,1189211
Delhi,west,2024,4,2781222
Delhi,south east,2024,4,2320701
Delhi,central delhi,2024,4,2040406
Delhi,north west,2024,4,1953572
Delhi,north,2024,4,1727450
Delhi,new delhi,2024,4,1676758
Delhi,south west,2024,4,1452225
Delhi,south,2024,4,1340531
Delhi,east,2024,4,1285131
Delhi,shahdara,2024,4,1217468
Goa,north goa,2018,1,57769
Goa,south goa,2018,1,34167
Goa,north goa,2018,2,76192
Goa,south goa,2018,2,45982
Goa,north goa,2018,3,95307
Goa,south goa,2018,3,58495
Goa,north goa,2018,4,121001
Goa,south goa,2018,4,74349
Goa,north goa,2019,1,147802
Goa,south goa,2019,1,90350
Goa,north goa,2019,2,173002
Goa,south goa,2019,2,105938
Goa,north goa,2019,3,197361
Goa,south goa,2019,3,119833
Goa,north goa,2019,4,220385
Goa,south goa,2019,4,133161
Goa,north goa,2020,1,244309
Goa,south goa,2020,1,147591
Goa,north goa,2020,2,267533
Goa,south goa,2020,2,163106
Goa,north goa,2020,3,294195
Goa,south goa,2020,3,180767
Goa,north goa,2020,4,326479
Goa,south goa,2020,4,201105
Goa,north goa,2021,1,352593
Goa,south goa,2021,1,217442
Goa,north goa,2021,2,376703
Goa,south goa,2021,2,232403
Goa,north goa,2021,3,403952
Goa,south goa,2021,3,249506
Goa,north goa,2021,4,430814
Goa,south goa,2021,4,266364
Goa,north goa,2022,1,456250
Goa,south goa,2022,1,282378
Goa,north goa,2022,2,480353
Goa,south goa,2022,2,297426
Goa,north goa,2022,3,504946
Goa,south goa,2022,3,312884
Goa,north goa,2022,4,527826
Goa,south goa,2022,4,327376
Goa,north goa,2023,1,550554
Goa,south goa,2023,1,341631
Goa,north goa,2023,2,571111
Goa,south goa,2023,2,354909
Goa,north goa,2023,3,593176
Goa,south goa,2023,3,368655
Goa,north goa,2023,4,613836
Goa,south goa,2023,4,382087
Goa,north goa,2024,1,637677
Goa,south goa,2024,1,397373
Goa,north goa,2024,2,661408
Goa,south goa,2024,2,412108
Goa,north goa,2024,3,589892
Goa,south goa,2024,3,524142
Goa,north goa,2024,4,605009
Goa,south goa,2024,4,538323
Gujarat,ahmadabad,2018,1,572811
Gujarat,surat,2018,1,489852
Gujarat,vadodara,2018,1,205722
Gujarat,rajkot,2018,1,133017
Gujarat,gandhinagar,2018,1,118201
Gujarat,bharuch,2018,1,101575
Gujarat,kachchh,2018,1,97838
Gujarat,mahesana,2018,1,97004
Gujarat,banas kantha,2018,1,93506
Gujarat,bhavnagar,2018,1,87683
Gujarat,ahmadabad,2018,2,751746
Gujarat,surat,2018,2,652372
Gujarat,vadodara,2018,2,271730
Gujarat,rajkot,2018,2,174778
Gujarat,gandhinagar,2018,2,155539
Gujarat,bharuch,2018,2,134500
Gujarat,kachchh,2018,2,128064
Gujarat,mahesana,2018,2,127614
Gujarat,banas kantha,2018,2,125849
Gujarat,bhavnagar,2018,2,115812
Gujarat,ahmadabad,2018,3,919252
Gujarat,surat,2018,3,808005
Gujarat,vadodara,2018,3,335125
Gujarat,rajkot,2018,3,215459
Gujarat,gandhinagar,2018,3,190882
Gujarat,bharuch,2018,3,169322
Gujarat,banas kantha,2018,3,159591
Gujarat,kachchh,2018,3,158762
Gujarat,mahesana,2018,3,157274
Gujarat,bhavnagar,2018,3,141243
Gujarat,ahmadabad,2018,4,1212636
Gujarat,surat,2018,4,998807
Gujarat,vadodara,2018,4,421895
Gujarat,rajkot,2018,4,260602
Gujarat,gandhinagar,2018,4,242368
Gujarat,bharuch,2018,4,211843
Gujarat,banas kantha,2018,4,197774
Gujarat,kachchh,2018,4,195295
Gujarat,mahesana,2018,4,192493
Gujarat,bhavnagar,2018,4,173699
Gujarat,ahmadabad,2019,1,1450100
Gujarat,surat,2019,1,1180819
Gujarat,vadodara,2019,1,502520
Gujarat,rajkot,2019,1,304415
Gujarat,gandhinagar,2019,1,291858
Gujarat,bharuch,2019,1,252826
Gujarat,banas kantha,2019,1,239613
Gujarat,kachchh,2019,1,231871
Gujarat,mahesana,2019,1,230403
Gujarat,valsad,2019,1,209477
Gujarat,ahmadabad,2019,2,1656341
Gujarat,surat,2019,2,1338584
Gujarat,vadodara,2019,2,572031
Gujarat,rajkot,2019,2,345178
Gujarat,gandhinagar,2019,2,333056
Gujarat,bharuch,2019,2,284296
Gujarat,banas kantha,2019,2,271379
Gujarat,kachchh,2019,2,261458
Gujarat,mahesana,2019,2,259949
Gujarat,valsad,2019,2,238764
Gujarat,ahmadabad,2019,3,1848860
Gujarat,surat,2019,3,1481391
Gujarat,vadodara,2019,3,637678
Gujarat,rajkot,2019,3,384852
Gujarat,gandhinagar,2019,3,372464
Gujarat,bharuch,2019,3,315856
Gujarat,banas kantha,2019,3,301373
Gujarat,mahesana,2019,3,286652
Gujarat,kachchh,2019,3,285519
Gujarat,valsad,2019,3,266134
Gujarat,ahmadabad,2019,4,2015947
Gujarat,surat,2019,4,1624077
Gujarat,vadodara,2019,4,700817
Gujarat,rajkot,2019,4,426178
Gujarat,gandhinagar,2019,4,408526
Gujarat,bharuch,2019,4,350619
Gujarat,banas kantha,2019,4,339582
Gujarat,mahesana,2019,4,316985
Gujarat,kachchh,2019,4,314732
Gujarat,valsad,2019,4,296977
Gujarat,ahmadabad,2020,1,2185983
Gujarat,surat,2020,1,1772703
Gujarat,vadodara,2020,1,763969
Gujarat,rajkot,2020,1,469636
Gujarat,gandhinagar,2020,1,445290
Gujarat,banas kantha,2020,1,386212
Gujarat,bharuch,2020,1,384819
Gujarat,mahesana,2020,1,349897
Gujarat,kachchh,2020,1,347270
Gujarat,valsad,2020,1,330053
Gujarat,ahmadabad,2020,2,2384154
Gujarat,surat,2020,2,1935894
Gujarat,vadodara,2020,2,830759
Gujarat,rajkot,2020,2,522650
Gujarat,gandhinagar,2020,2,488351
Gujarat,banas kantha,2020,2,446603
Gujarat,bharuch,2020,2,423017
Gujarat,mahesana,2020,2,389562
Gujarat,kachchh,2020,2,385480
Gujarat,valsad,2020,2,372771
Gujarat,ahmadabad,2020,3,2580178
Gujarat,surat,2020,3,2092712
Gujarat,vadodara,2020,3,901492
Gujarat,rajkot,2020,3,573062
Gujarat,gandhinagar,2020,3,529771
Gujarat,banas kantha,2020,3,501471
Gujarat,bharuch,2020,3,462292
Gujarat,mahesana,2020,3,427950
Gujarat,kachchh,2020,3,423729
Gujarat,valsad,2020,3,410740
Gujarat,ahmadabad,2020,4,2787991
Gujarat,surat,2020,4,2278232
Gujarat,vadodara,2020,4,980658
Gujarat,rajkot,2020,4,627654
Gujarat,gandhinagar,2020,4,572461
Gujarat,banas kantha,2020,4,551645
Gujarat,bharuch,2020,4,508005
Gujarat,kachchh,2020,4,466855
